Class,Sentences
pos,অভিজ্ঞতার জায়গা থেকে সে অভিযোগ তোলার যোগ্যতা রাখে।
pos,এসব কথা বলতেও হেডম লাগে
ntr,"শুধু ম্যানেজমেন্ট না,প্লেয়ারদেরও খবর আছে যদি সাকিব এখানে যায়। এরকম স্ট্রেট-ফরওয়ার্ড মানুষ দরকার।"
ntr,ন্যাশনাল টীম বাদ দিয়া ফ্রীল্যান্সার হবার ১০১ টা নিঞ্জা টেকনিকের প্রথমটা এপ্লাই করলেন দেশসেরা রেমিট্যান্স যোদ্ধা।
ntr,বোর্ড এত বড় বড় কথা না বলে ১৫ বছরে কেন সাকিবের বিকল্প তৈরী করতে পারলো না?
neg,সবগুলোই হুজুগে মাতাল
neg,পাপোন ক্রিকেটের জন্য কিছুই করে নাই
neg,ডাকাত দের দিয়ে দেশে কোন সেক্টরে উন্নতি হবে না। 
ntr,"ব্লেমিং ব্লেমিং একটা পলিটিক্স খেলে দিল।পাপনের যে সুনাম করল, তিনিইতো প্রথম বলেছিল সাকিব টেস্ট খেলতে চাইনা।"
neg,"সুজনের বিরুদ্ধে সবাই ,তাকে তেল দিয়ে মাথায় তুলে দিল!"
ntr, সাকিব নিয়ে সারাদিন মারামারি এত ঝামেলার কি আছে বুঝি না সাকিবকে ক্রিকেট থেকে আজীবনের জন্য নিষিদ্ধ করে দেওয়া হোক তাহলে সব ঝামেলা শেষ
pos,নিজের যোগ্যতা আছে বলেই বলছে।।।
pos,আগে আমার আশরাফুল কে ভাল লাগত ভীষন।।
pos,সাকিব আমার মনে জায়গা করে নিছে শুধু তার এত ভাল ডেডিকেটেড মাইন্ড এন্ড দেশপ্রেম এর কারনে।।
pos,সে তো বেয়াদব এর মতো আচরণ করবেই
ntr,চিন্তার বিষয় এইটা ...
ntr,এখন বোর্ড যদি আবার সাকিবকে আগের মতো কোনো কোনো দোষ দিয়া দেয় !
pos,সাকিব শুধু ক্রিকেট মস্তিষ্কে বিশ্বসেরা সেরা নয়।
pos,স্পষ্টবাদীতায় ও জগদ্বিখ্যাত সাকিব 
ntr,খুব বেশি করলে হয়তো ব্যান করবেন আর কিইবা ছিড়বেন??
ntr,আঙুলের নখ বড় হলে অনেক সময় নখ কেটে ফেলতে হয়; না হলে জীবাণু পেটে গিয়ে জীবন সংশয় দেখা দেয়।
ntr,মূল খেলোয়াড় যারা কিছুই পারে না গণহারে বাদ দেন
ntr,সাকিব ছাড়া বাংলাদেশের ক্রিকেট জিরো।
neg, সাকিব অতি মাত্রায় নিজের চিন্তা করা সার্থপর একজন খেলোয়ার ছাড়া আর কিছু নন
neg,তাকে দল থেকে বহিষ্কার করা হোক।
pos,সাকিব ইজ দ্যা বেস্ট
neg,এই সব নিকৃষ্ট মানুষের জন্য দেশের বদনাম যে ভারতীয় দালাল দেশের খেলা বাদ দিয়ে জনগণের টাকায় বেতন নিয়ে অন্য দেশের কেলাব খেলতে যায়
neg,আকরাম খানের বিরুদ্ধে কথা বলার কোন যোগ্যতা সাকিবের নেই।
pos,বাংলাদেশের ক্রিকেটে ওর অবদান অনেক।
pos,বাংলাদেশের ক্রিকেটে আকরাম খানের অবদান অনস্বীকার্য
neg,"সরকারের চামচা বিবিসি তোদেরকে ধিক্কার জানাই, একজন মানুষের বাক্স্বাধীনতা তোদের কাছে ভাল লাগে না।"
pos,সাকিব নিঃসন্দেহে ভালো খেলোয়াড়
neg,সীমা লঙ্ঘন করে দেশের জন্য কোনো টান নাই সাকিবে কাছ থেকে !
neg,"আওয়ামিলীগের দালাল কাউকে দিয়ে দেশের জন্য সামান্য ভালোও আশাকরা যায়না, আওয়ামিলীগ ও কুত্তার লেজ কখনো সুজা হয়না।"
neg,ক্রিকেট বোর্ড যখন সরকারের নিয়ন্ত্রণে থাকবে তখন অবশ্য খেলোয়ার সংগ্রহ জন্য বড় বাধা হবে।।
ntr, আমরা হয়তো আবার সাকিবের শাস্তি দেখতে যাবো।
ntr,পাপন সুজন এর বিরুদ্ধে অভিযোগ করলে বাঁশ খাবে তাই করে নাই
neg,"বাংলাদেশর খেলা দিন দিন নিন্ম দিকে ধাবিত হচ্ছে, খুব হতাশা জনক"
neg,ক্রিকেটারদের মনগড়া নিয়মে চলেই ক্রিকেটের আজ এই দশা।
ntr,সাকিবের মুখের পাশে কারো মানায়না!
ntr,দলের সিনিয়র খেলায়ারা যা দিবার দিছে এখন তাদের বোর্ড চালানো দায়িত্ব দেওয়া হক আর আন্ডার নাইনটি বিশ্বকাপ স্কোয়াড কে জাতীয় টিমে খেলানো উচিত দল এমনে হারে ওমনে হারবে কিন্তু নতুন রা হারতে হারতে পরিপূর্ণ হয়ে যাবে
pos,অবশ্যই সাকিবের কথা যৌক্তিক।
ntr,সাকিবের বদলে পাপনকে নামিয়ে দিলেই তো হয়।
pos,সাকিবের কথায় যুক্তি আছে
pos,সাকিবের কথাই সঠিক।
neg,সে দলের সাথে ভালভাবে খেলেনা। খেলায় তার মন নেই। প্রোডাকশনে ব্যস্ত থাকলে দলকে কিভাবে সময় দিবে। এদিকে আবার বিসিবি বস হতে চায়। এর মাথা গেছে
ntr,ক্রিকেট বোর্ড মানেই সিন্ডিকেট।
ntr,"আকরাম, দুর্জয়, পাপন এসব বাদ দিয়ে মাশরাফি কে দায়িত্ব দিন।"
neg,অযোগ্য প্রশাসন।
ntr,যে বিসিবি চাপে রাখছিলো সাকিব কে সেই সাকিব মনে হয় পাপনের তৈল বাহির করা চাপ দিলো
neg,তুই এবং বিসিবির বর্তমান পরিষদ দুটোই বাটপার। তোরা নিজের স্বার্থকে পেশার সাথে গুলিয়ে ফেলেছিস।
ntr,সাকিব তো মুখোমুখি দার করেনি শুদু ইচ্ছে পোষণ করেছে আর মিডিয়া এটাকে কি করেছে।
neg,একটা অযোগ্য ক্রিকেট বোর্ড আমা‌দের তরুণ প্লেয়ারগু‌লো‌কে নষ্ট ক‌রে।
ntr,"সাকিবের ব্যাগে কোন তেল নাই এজন্য যত বদনাম, ""তেল আছে যার যত হবে বড় তত"""
ntr,সারা জীবন কী আপনিই বাবা থাকবেন? আপনার ছেলেকেও তো বাবা বানাতে হবে তাই নাহ? এখানে সাকিব সঠিক প্রস্তাব করেছে বাবাকে অবসর দিয়ে। অন্যায় কিছু বলে নাই। বস্।।।
pos,সাকিব একজন সম্মানিত ব্যক্তি
ntr,"সম্মান হল আপনি আপনার কাজে, নীতিতে, মূল্যবোধ নেগেটিভ সেন্স দিয়ে পরিবর্তন করবেন না। রাজনীতি যদি কেউ করতে চাই সংসদ নির্বাচনে জেতে বলেন। ঐখানে মানুষ ভৌট দিয়ে সম্মানিত করবে । "
pos,"সাকিব জাতীয় বীর, তার মত প্রকাশের পূর্ণ স্বাধীনতা রয়েছে।"
neg,বিবিসি মিথ্যা নিউজ করে । 
pos,সাকিব যেমন বিশ্ব অলরাউন্ডার 
neg,"যোগ্য তবে বেয়াদব,"
ntr,সাকিবের অধ্যায় শেষ!!
neg,বাংলাদেশের ক্রিকেটটাকেও খেয়ে ছেড়ে দিচ্ছে।
ntr,বলতে গেলেই দোষ
neg,হ সাকিব আইপিএল খেলে তোমরারে টি টুয়ান্টি বেশ্যাকাপ ধরাই দিবো বলেছে
pos, সাকিব কিংবা মাশরাফিকে ক্রিকেট প্রধান করা হলে ক্রিকেটের জন্য ভালোই।
neg,সাকিবকে ব্যান করা হোক
ntr,তুমি টি-টোয়েন্টি ওয়ার্ল্ড কাপের প্রস্তুতির জন্য না টাকার জন্য ই  আইপিএল খেলবা এইটা আমরা বুঝি
neg,এ দেশের ক্রিকেটটা ধ্বংস করে দিবে ভারতীয় দালালরা।
neg,কিছু বলার নাই।
neg,রাজাকার সাকিব জানে বাংলাদেশ নিউজিল্যান্ড এর কাছে হোয়াইট ওয়াস হবে তাই সে আজাইরা বদনাম না কামাইয়া আই পি এল এ টাকা কামাইতে গেছে !!
neg,সাকিব আল হাসান কে চিরতরে বরখাস্ত করা উচিৎ।
ntr,এই লোকটা কখনো এমপি হতে চায় আবার কখনো মন্ত্রী হতে চায় এখন আবার বিসিবির সভাপতি হতে চায়
neg,ভোদাই মার্কা ফ্যান
pos,জ্বলে উঠো সাকিব
pos,আগুন মামা আগুন। 
pos,এই জন্য সাকিব কে ভালো লাগে
ntr,সাকিবের চুল বডো হয়েগিয়ে পাপন কে বলো কেটে দেওয়ার জন্য
neg,পাপন সাহেবের দিন শেষ।
neg,সাকিব আল হাসানের উপর বিরক্ত বিসিবি। আর বিসিবির উপর বিরক্ত পুরো দেশ!
ntr,আরে বেটা আকরাম খান তোর মত ক্রিকেটেরার জন্মদিয়েছে।
neg,"আকরাম খান বাংলাদেশ ক্রিকেটের মুল সমস্যা,পাপন সাব এটা ধরতে পারেন না।"
neg,বেশি লাই দিলে মাথায় উঠে।
ntr,"সব গুজব, আমরা গুজবে কান না দিই।"
pos,সাকিব ইজ দ্যা বেস্ট।
ntr,সাকিবের চেয়ে মাশরাফি কে বিসিবির সভাপতি দিলে ভলো হবে।
ntr,"যার ইচ্ছা সে খেলবে, যার ইচ্ছা খেলবেনা কার কি করার আছে।"
pos,আমরা সাকিব বসের সাথে থাকবো।
neg,দুর্নীতির কাছে প্রতিভা যখন অসহায় ।
pos,সাকিব আল হাসানকে বোর্ড প্রেসিডেন্ট দেখতে চাই
ntr,মেইন কথা প্রতিবাদ করার সাহস তার বহুদিন আগের
ntr,হেতের যে স্বপ্ন ভবিষ্যতে জান্তার সেনাপ্রধান হতে পারবে।
ntr,সাকিবের উচিত এইসবের জবাব না দেয়া। 
ntr,"খেলা হবে,আসো খেলবো"
pos,"ঠিক ই আছে,,"
pos,জোস একটা প্লেয়ার।
pos,অসাধারণ একটা ছেলে
neg,উস্কানিমূলক নিউজ
pos,সাকিবের মনটা অনেক ভালো। 
neg,শাকিব স্বার্থপর।
neg,এই লোক অহংকারি
pos,সাকিবের মত যোগ্যতা কারো নেই।
ntr,মামুনুল হকের জামালগঞ্জে আসা নিয়ে উত্তেজনাকর পরিস্থিতি তৈরি হওয়ায় প্রশাসনের হস্তক্ষেপে স্থগিত হয়ে গেল ওয়াজ মাহফিল
neg,অনেক ইচ্ছা থাকা স্বত্বেও গালি দিতে পারতেছিনা
neg,"বিবিসির কাছে আমরা এরকমটা আশা করিনি, সংবাদ যাচাই না করেই মিথ্যা বানোয়াট সংবাদ প্রচার করে তারা।"
neg,আপনাদের প্রতি মানুষের বিশ্বাসটা উঠে যাচ্ছে
pos,আলহামদুলিল্লাহ।
neg,বিতর্কিত এই বক্তার ওয়াজ সারা দেশে নিষিদ্ধ হোক।
neg,আজ প্রথম দেখলাম বিবিসি ও হলুদ সাংবাদিকতা করছে!
ntr,আমার বাবা বিবিসি বাংলা শুট ওয়েব শুনেন ৩৫বছরের ও উপরে হবে।
ntr,কত টিভি চেনেল কিন্তু বিবিসি এবং ডিবিসি এবং ৭১ টিভি মত এত ইসলামের বিরুদ্ধে চুলকানি এত বেশি চুলকানি এত বেশি চুলকানি আর কাউকে দেখি নাই তাদের মনে হয় ইসলামের বিরুদ্ধে কথা বলার জন্যই তৈরি করা হয়েছে
ntr,এই ব্যক্তিকে ওয়াজের নামে আর কখনো কোন উস্কানিমূলক কথা বলার সুযোগ দেওয়া উচিত হবে না। এবং কোথাও যেন সে ওয়াজ না করে। এ বিষয়ে সরকারকে কঠোর ব্যবস্থা নিতে হবে।
ntr,"ব্যাপার না, ইমরান এইচ সরকারের মিটিংও একাধিকবার আটকানো হয়েছে, এসব আপোষের খেলা। একজন চেতনা মাতার সন্তান অন্যজন কাওয়ামী মাতার সন্তান।"
ntr,যারা রাজনৈতিক স্বার্থে হিন্দুদের উপর হামলা করে ধর্মের উপর দিয়ে চালিয়ে দেয় তাদের বিরুদ্ধে প্রসাশন কবে ব্যাবস্থা নেবে?
neg,শাল্লার দাঙ্গার বিষয় নিয়ে বিবিসি বাংলায় মুলতথ্য গোপন রেখে উসকানিমূলক সংবাদ প্রকাশিত করায় তাদের দায়িত্ব জ্ঞানহীনও তার পরিচয় দিয়েছে।
pos,এই নিউজ তো খুব ফলাও করে করে বিবিসি৷ 
neg,অতচ কোনদিন দেখলাম না আল্লামা মামুনুল হকের মাহফিলে লাখো মানুষের সমাগম নিয়ে নিউজ করতে। মানুষের আবেগ আর উচ্ছ্বস নিয়ে নিউজ করতে। পারে শুধু বিটলামি আর ফাইজালামি করতে।
pos,মামুনুল হকের মত মানুষ হয় না। 
neg,বিবিসি বাংলা নির্লজ্জের মত যুবলীগ নেতা শহীদুল সংখ্যালঘু সম্প্রদায়ের উপর হামলার দায়ে গ্রেফতার হওয়ার পরও হেফাজতে ইসলামের নামে অপপ্রচারে লিপ্ত। 
pos,"এতেই বুঝা যাচ্ছে মুমিনুল হক সঠিক পথে আছে , বাঁধা আসবেই এটাই নিয়ম"
neg,"এই জঙ্গি পায়ু কমান্ডো মামুনুল হক, প্রতিটি মাফিল উস্কানিমূলক বক্তব্য দেয়,,সে দেশ টা পাকিস্তান ও আফগানিস্তান বানাতে চায়,"
pos,গুড ডিসিশন
ntr,উগ্রবাদীদের দমনে অতি জরুরী হয়ে পড়েছে!
neg,এভাবে চলতে থাকলে বাংলাদেশের অস্তিত্ব খুঁজে পাওয়া যাবে না।
neg,তীব্র নিন্দা ও প্রতিবাদ জানাই..
ntr,৯২% মুসলমানের এই দেশে সকল প্রস্তুতি সম্পন্ন হওয়ার পর হঠাৎ প্রশাসন এসে আজ ঢাকা সবুজবাগ থানায় #শায়খে_চরমোনাইর মাহফিল বন্ধ করে দিয়েছে।
neg,"ওয়াজ মাহফিলে বাধা যারা দেয়, তারা অমানুষ। "
ntr,জয় বাংলা জয় বঙ্গবন্ধু।
ntr,"ঘুষ, দূর্নীতি ও অন্যায়সহ যাবতীয় অনিয়মের বিরুদ্ধে যদি সবাই এভাবে প্রতিরোধ গড়ে তুলতে পারত। সুশাসন ও সমাজের সকলের সম অধিকার প্রতিষ্ঠার জন্য যদি সবাই এভাবে একত্রিত হত। কতই না সুন্দর করে চলত আমাদের সোনার বাংলাদেশ। "
ntr,"আল্লাহর ওয়াস্তে, কেউই বাংলাদেশের হাজার বছরের ঐতিহ্য ""সকল ধর্মের মানুষের শান্তিপূর্ণ সহবস্থান""কে দয়া করে বিনষ্ট করবেন না।"
pos,"মামুনূল হক , আসছে জনগনের মনে খুশির জোয়ার বইছে। "
neg,আসলে মামুনুল একজন ধর্ম ব্যাবসায়ী। ওয়াজের নামে কোনভাবেই বিশৃঙ্খলা করতে দেওয়া উচিৎ না।
neg,সাম্প্রদায়িক বিষ ছড়ানো মামুনুল হককে প্রতিহত করা হোক।সমস্ত মাহফিল থেকে তাকে নিষিদ্ধ করতে হবে।
ntr,আওয়ামিলীগ তাহলে ইসলাম বিরুধী? আর নাহয় মাহফিল বন্ধ করতে আর মামুনুল হক যেতে বাধা দিবে কেনো?
ntr,মজার খেলা চলছে। 
ntr,"জেলায় জেলায় ঘুরে ওয়াজ মাহফিলের পরিবর্তে ইলেকট্রনিক মিডিয়ায় যত ইচ্ছে ওয়াজ মাহফিল করে না কেন? এতে অর্থ, শ্রম ও সময় বাঁচবে।"
neg,বাংলাদেশে ওয়াজ মাহফিল ধর্মীয় উস্কানিমূলক সব ধরনের কার্যক্রম সম্পূর্ণভাবে বন্ধ করা হোক
pos,এখনো বিশ্বাস করি সরকার চাইলে বঙ্গবন্ধুর সোনার বাংলা গড়ে তোলা এবং তাঁর আদর্শ বাস্তবায়ন সম্ভব...
pos,ছাত্রলীগ মানে পৃথিবীর শ্রেষ্ঠ সংগঠন
pos,ছাত্রলীগ মানে বাংলাদেশের ভালবাসা
pos,ছাত্রলীগ মানে শ্রেষ্ঠ সন্তান
neg,সাধারণ জনগণকে বুঝতে হবে প্রশাসন ও এখন ইসলামের বিপক্ষে অবস্থান করছে।
pos,একদম ঠিক করেছে প্রশাসন ।
pos,এটা আরও আগে করা উচিত ছিল।
pos,ইসলাম শান্তির ধর্ম। 
pos,একদম সঠিক হয়েছে।
ntr,কোন কারণ না থাকা সত্ত্বেও সমাজে বিভাজন সৃষ্টি করে সাধারণ মুমিন মুসলিমদের জিহাদে উদ্বুদ্ধ করেন।
ntr,জালিমদের এক মামুনুল হক'কে নিয়ে এতো ভয় কিসের?
ntr,"তাহলে কি এটা সত্যি যে,মামুনুল হকের হুংকারে জালিমের মসনদ কেঁপে ওঠে.."
pos,"যতই দাবিয়ে রাখা হোক না কেনো,সত্যের জয় আসবেই।"
neg,এই মামুনুল সাহেবের মুরিদদের কিছু বিতর্কিত কর্মকাণ্ডে দুটি সম্প্রদায়ের মানুষের মধ্যে ভেজাল লাগাচ্ছে।
ntr,ইসলামকে দমিয়ে রাখা যায় না।
ntr,"আলেম ওলামাদের সমন্বয়ে শাল্লার ঘটনা নিয়ে তদন্ত টিম করুন,"
ntr,দেশ থেকে ইসলাম ধর্ম উঠে যাবে ।।
ntr,হরে রাম হরে কৃষ্ণ এর বাংলাদেশ হবে।
ntr,যে অন্যের জন্য গর্ত খনন করে সেই ঐ গর্তে পতিত হয়। 
ntr,মামুনুল হক কে এভাবে বেশি দিন দমিয়ে রাখা যাবে না।ইসলাম বিরোধী কাজ করে কখনো সফলতা পাওয়া যাবে না।
neg,একজন পায়ু কমান্ডার কে এভাবে বাধা দেওয়া ঠিক হচ্ছে না। বারবার এভাবে বাধা দিলে পায়ু কমান্ডাররা যে কোন সময় পায়ু যোদ্ধের ডাক দিয়ে পায়ুযুদ্ধ শুরু করতে পারে।
ntr,ওয়াজ সীমিত করা হোক।ইহা একটি বানিজ্যে দাড়িয়েছে।
ntr,"চারিদিকে নাচ আর গান। সংস্কৃতির উন্মাদনা, প্রশাসন পৃষ্ঠপোষক। আর ওয়াজের প্রতিবন্ধক!"
neg,বর্তমানে সাংবাদিকের বেশির ভাগই কোন দল বা ব্যক্তির স্বার্থে নিউজ কাভার করে থাকে।
neg,প্রকৃত সত্য নিউজ সাংবাদিকতায় উঠে না অাসায় সংবাদ মাধ্যমের প্রতি মানুষদের অাস্থা ও বিশ্বাস হারাচ্ছে।
neg,সাংবাদিকতার মহান পেশাকে যারা ফেইক বা ভুল নিউজ করে কলংকিত করছে তাদের প্রতি ধিক্কার। 
ntr,"বিবিসি বাংলাকে অনুরোধ করে বলতেছি,বাংলাদেশের বর্তমান নিত্য প্রয়োজনিয় দ্রব্যদি নিয়ে একটি প্রতিবেদন করার জন্য।"
ntr,বিবিসি বাংলা এই উপলক্ষে একটা ড্যান্স দিক? আমার জানামতে বিবিসিতে বেশিরভাগই হিন্দু কর্মী যারা এই রিপোর্টটা প্রসব করেছে।
neg,অন্যায় করেছে তারা।
ntr,প্রমাণসহ ধরাও খেলো।
pos,সত্যের জয় হবেই। 
ntr,"ধর্মব্যবসায়ী আর সেক্যুলারদের মধ্যে পার্থক্য: ধর্মব্যবসায়ীরা ধর্ম নিয়ে ব্যবসা করে, সেক্যুলাররা ধর্মব্যবসায়ীদেরকে নিয়ে ব্যবসা করে।"
pos,মামুনুল হক সাহেবের শক্তি আরো বাড়বে ইনশাআল্লাহ
pos,আল্লামা মামুনুল হক তিনি অকুতোভয় আমাদের রাহনুমাহ।
neg,এই মাফিয়া সরকার মানুষের বাক স্বাধীনতা কেড়ে নিতে চায়!!
ntr,এর জন্য কবি বলেছেন সাংবাদিক শুক্রাণুর মতো এরা লক্ষ্য কোটিতে মানুষ হয় একটা। আর এটার প্রমাণ বিবিসি বাংলার সাংবাদিক
ntr,হিন্দুদের উপর কারা হামলা করেছে তা প্রমান হওয়ার পরেও সেই মামুনুল হককে নিয়েই পড়ে আছে!
ntr,আসলে মামুনুল হকের ভয়ে যাদের ঘুম হচ্ছেনা তাদের জন্য খুব মায়া হচ্ছে
ntr,মামুমুনুল হক খামোখা সারাদেশে ওয়াজ মাহফিল করতে যান!
neg,পায়ুনুলের চেহারাটা দেখলেই জঘন্য প্রাণী হায়েনার কথা মনে পড়ে।
neg,এ সব বাদ দিন আর ভালো লাগে না
neg,মামুনুল হক এক শ্রেণির লোকদের উগ্রবাদীর দিকে ঠেলে দিচ্ছে। 
neg,বিবিসির মত একটা নিউজ পোর্টাল থেকে এসব ভিত্তিহীন ও মিথ্যা তথ্য আশা করা যায় না। 
neg,এইসব বালছাল নিয়ে এতো মাতামাতির কি আছে? 
neg,আওয়ামী লীগ দেশের বারটা বাজিয়ে দিল
